available_amount,monthly_expenses,savings_goal,actual_savings
7965.6,2809.5,2972.92,2931.58
4949.91,3286.98,946.19,1019.54
8727.38,6430.36,372.48,631.55
7276.31,2304.01,145.81,1686.64
1847.6,426.24,345.45,570.33
9780.6,4965.72,605.27,3035.64
7850.26,5823.45,641.75,419.69
8074.58,5293.26,2179.1,1169.62
2153.02,1488.42,96.27,68.22
5053.47,2435.71,667.79,247.42
4337.18,1580.74,1598.99,331.95
9340.88,5345.28,1627.6,1686.05
6794.79,2330.99,156.87,886.66
8404.85,5953.66,317.07,407.95
4990.73,1686.25,2472.41,767.44
3045.15,1229.89,149.82,802.18
5991.26,3322.64,1355.86,1768.24
1574.36,851.25,458.35,342.4
8448.68,5243.21,680.69,624.8
6684.98,3384.01,1914.77,305.41
7822.79,6599.55,166.26,26.3
4190.73,3302.1,202.43,448.12
9736.28,7938.76,448.4,310.96
9038.09,5790.36,2588.92,1845.27
8005.45,5159.56,488.52,2150.64
2751.75,1723.8,106.25,791.67
5200.49,2623.22,1908.6,888.36
1394.23,593.21,103.77,523.05
2388.61,1467.56,647.88,311.8
7147.44,1557.23,2908.95,848.66
7702.86,1580.78,2825.27,4260.46
9707.59,7728.69,1189.46,1284.74
3932.43,914.28,1752.94,700.28
4334.14,2459.0,165.8,859.92
5226.0,3294.95,1544.02,506.53
2705.24,916.32,1347.97,1152.55
2169.29,1794.03,269.17,116.89
5281.34,1759.04,1753.51,2360.82
3042.18,2492.04,230.09,314.11
7028.33,5159.45,801.79,885.47
4934.37,1818.41,37.23,1810.89
8494.1,2595.13,2357.09,609.34
7302.39,3076.95,2108.56,1180.98
3811.3,1823.96,1047.26,1067.05
8490.34,3158.82,1416.64,3368.3
8242.88,7412.2,313.19,562.57
4487.31,1618.83,1460.2,217.47
3594.95,2809.26,269.21,273.59
7142.46,2224.04,3785.75,837.48
2257.77,2000.77,145.04,23.36
2799.17,1001.73,1.83,819.64
1066.26,527.99,10.02,89.97
8082.32,4776.61,1825.55,1446.12
6983.66,1984.76,1650.22,1415.72
7346.49,5669.83,1126.01,793.46
8026.56,3148.66,675.16,2668.9
5130.24,2998.57,23.58,737.02
6118.67,3577.85,788.84,500.2
2258.17,1404.24,502.84,532.16
2030.77,485.03,1201.63,171.35
7015.63,2231.2,3382.22,844.44
5239.87,1639.21,1394.39,985.11
6087.12,2504.46,2329.64,428.14
7884.99,2376.85,309.91,395.03
6712.46,5674.35,475.27,575.99
5982.21,3344.47,1950.45,1617.34
6032.86,3839.93,695.4,860.36
3735.55,1681.9,1577.37,632.9
1277.36,502.48,136.8,232.65
4930.46,2722.72,186.57,1143.02
2931.26,1190.17,730.93,119.86
4676.76,2060.36,1898.98,599.25
8680.63,4487.24,1044.25,1098.08
3105.46,1720.46,886.57,465.24
1524.72,1355.51,22.9,82.51
3532.46,1258.7,1356.19,368.25
3642.34,1972.63,744.06,1129.08
6957.25,2119.58,677.34,1208.85
6013.29,2675.91,1917.22,896.72
8055.08,5655.62,1370.11,1326.77
6978.82,2248.04,1950.73,1356.45
4657.48,2826.84,330.2,787.61
8326.18,4093.91,447.92,1229.91
2502.76,590.91,1464.1,155.29
1204.41,1027.54,92.79,78.02
1810.43,886.25,598.31,93.65
7501.23,5616.54,1050.86,1259.06
5156.9,2534.2,1740.37,1790.98
2451.45,2098.81,45.84,96.61
5509.4,2222.1,1306.9,2192.87
2370.81,1158.29,647.12,210.39
7266.88,5313.58,161.56,484.43
5015.41,2209.62,336.6,1032.93
4429.19,2015.5,1224.19,352.53
3713.61,3328.79,267.44,18.5
6672.54,3929.66,1449.15,1216.4
4256.31,2905.22,39.13,536.46
1788.85,1163.51,485.48,348.55
2062.05,1607.47,50.73,250.48
9657.08,7757.31,353.45,874.53
9177.23,5453.84,2904.15,2795.83
7297.36,2964.11,2672.87,616.38
3392.83,732.72,1993.12,1436.53
9722.59,6126.03,2320.84,1799.74
8008.76,6229.44,927.72,588.48
7452.01,3840.6,822.11,1763.4
5044.25,1590.42,903.19,868.31
3450.17,1385.79,1564.43,1276.36
1867.52,1040.19,569.61,690.08
9123.42,7168.06,562.35,735.53
5101.99,1633.79,1035.65,1613.1
2821.27,1773.18,249.61,156.13
3753.61,2730.22,267.01,463.16
6212.98,5313.54,619.29,145.48
2590.96,729.85,15.64,433.33
8709.53,7389.81,460.37,580.8
7826.68,4860.58,2237.24,1119.71
7475.17,5506.89,854.45,464.95
4888.84,1161.79,1343.06,3360.98
6645.78,3683.78,740.19,1026.61
6256.88,3978.38,134.73,892.09
6848.62,2840.7,719.78,1112.8
1760.0,883.79,63.41,229.9
4742.27,2788.49,198.03,718.65
1374.53,806.55,74.3,208.48
5445.92,1248.77,1014.13,1731.78
3968.75,2014.69,17.22,1187.18
2300.72,804.5,1137.3,410.81
1930.63,1624.98,30.28,100.26
6288.8,5556.82,224.37,150.17
2535.34,1038.86,1052.95,434.9
9326.08,3008.87,538.57,4276.57
6229.55,2203.1,1557.77,593.07
4121.83,2202.81,1296.92,142.86
6318.24,5131.38,528.83,737.04
1205.23,662.91,91.26,11.14
9627.03,2298.69,4312.05,3192.72
5340.73,1217.26,2247.59,3284.64
8044.62,2889.41,1493.71,1832.73
1744.57,1378.11,13.57,115.61
5379.92,3416.45,12.35,882.43
5416.36,3217.7,1451.81,99.17
9440.44,3995.94,1400.58,801.31
6145.55,5227.39,101.2,321.65
5261.4,2272.0,1240.13,1264.54
3402.78,2669.35,540.29,89.72
3984.12,3295.4,4.67,243.98
5686.05,3061.0,117.9,2217.26
4950.2,4088.88,287.37,268.63
1194.51,470.35,391.6,585.73
8436.63,5575.8,1089.63,1801.89
9065.45,2371.29,4806.66,1847.12
2262.24,1202.96,37.36,738.87
5986.33,2107.98,1055.35,1601.76
1977.18,482.3,420.18,443.31
7050.16,1428.42,1529.69,1681.97
3531.1,1508.93,788.95,172.86
6934.8,4248.76,1698.82,604.57
7542.95,3912.24,923.31,268.68
7917.83,3256.12,2776.45,4093.1
1969.67,1760.57,24.5,124.63
9244.11,7928.37,590.21,521.94
3071.93,884.58,656.36,1837.66
1336.71,655.76,293.74,248.56
5993.67,3921.02,178.66,907.4
4338.3,3095.13,948.25,64.53
8468.11,3865.36,3336.86,2166.79
8274.26,5977.31,1518.56,506.26
3854.25,1105.8,1963.01,1978.91
9576.09,4139.45,637.99,2013.53
3618.26,2538.22,435.23,186.54
5635.51,3595.33,518.87,660.84
3303.69,2596.85,501.79,537.74
9424.39,2194.0,1095.77,3672.21
2481.47,799.22,296.0,1529.72
1404.2,328.51,590.95,956.77
4915.87,1644.26,232.68,1114.74
9931.38,2016.05,4637.54,4119.3
9025.1,4990.4,865.45,476.72
7737.47,4408.97,1759.94,109.11
9017.13,5956.03,2137.96,1486.56
9041.02,4244.2,2339.35,1499.24
5669.73,1146.68,769.58,718.33
3843.36,2581.68,49.63,291.97
7948.11,1891.68,216.16,1519.49
6954.95,5607.91,95.71,557.72
4362.92,941.77,1586.91,1399.81
1850.2,1057.08,220.94,291.12
7721.11,6381.05,260.62,780.6
3362.14,2019.78,235.51,960.25
9431.32,5902.98,2677.53,1445.84
3168.74,2145.64,97.25,224.91
2104.82,601.32,366.63,296.19
8480.01,5702.38,1047.67,440.0
2379.56,1942.31,0.16,48.27
2613.41,2304.91,227.29,52.54
6394.45,3262.04,248.33,390.49
8871.06,3913.5,2706.71,2855.74
2767.91,2013.15,379.72,260.85
3792.91,2199.94,1031.06,572.9
7996.64,3039.63,2583.15,1024.22
9746.44,3123.84,4076.28,898.17
5506.67,1757.52,1263.46,266.82
2295.08,1196.71,429.42,296.52
1125.43,359.11,430.16,386.49
3066.9,655.71,1096.47,1335.86
2186.4,517.0,683.17,308.37
7098.93,6040.61,174.04,305.24
2096.49,526.37,324.21,585.96
5556.97,1396.06,1193.34,2334.98
7248.36,3738.94,26.07,1804.31
6230.05,2314.9,1307.23,3276.3
2797.98,2445.12,0.78,117.16
8237.12,6900.15,604.33,191.27
7438.66,3595.26,2164.7,1374.27
7650.86,3933.4,1671.81,1573.66
2179.52,1008.2,649.87,891.96
2113.78,478.79,0.02,447.05
9348.06,3785.9,264.5,4589.14
4578.2,1308.78,1826.86,1021.99
3708.54,1007.46,1734.96,1274.72
5397.26,3198.43,1262.48,1175.5
6965.78,1874.74,2700.34,1529.47
9600.61,2611.86,3954.97,449.62
3578.02,1919.1,981.53,243.45
9323.28,4751.12,2649.57,331.39
1223.74,362.65,508.39,107.91
5996.78,1218.03,282.98,567.0
6705.78,2246.99,225.69,2034.42
1953.08,713.12,358.22,815.63
2263.06,1720.32,229.08,70.87
4772.03,4012.35,463.47,440.91
9696.09,4694.47,1339.26,997.48
6364.38,3077.3,723.47,463.75
9397.21,6566.18,1769.84,1382.63
8239.25,5263.61,593.55,2138.38
5206.43,1712.39,2294.45,606.5
8062.87,2220.37,827.92,2189.51
1160.53,587.61,164.76,59.95
1982.3,1180.22,257.35,423.76
8464.86,2514.87,1425.67,985.99
8171.35,3311.78,13.05,2435.64
3093.77,1281.31,341.48,762.84
5776.93,2212.04,962.96,374.44
6454.14,3372.5,773.18,1440.9
8809.65,5789.21,1898.18,2093.62
6427.96,3577.63,108.01,528.91
4713.14,1607.27,966.42,884.27
4367.66,1188.25,95.42,230.89
4832.94,3747.02,808.48,322.57
6867.38,3677.57,2016.49,1638.54
8807.42,2144.58,5235.18,1920.23
5085.07,1935.81,2293.07,1516.05
3230.56,2464.34,193.58,313.1
3129.96,2273.0,474.13,250.34
7714.13,6272.14,353.64,650.14
8349.12,5188.66,2245.73,1121.91
1947.5,966.03,322.51,448.42
1599.03,797.35,241.07,231.68
6349.9,2132.3,3084.14,2286.67
2315.56,1517.99,533.89,528.99
8421.98,5133.6,2542.35,882.0
3793.01,1169.78,139.53,236.53
2294.85,1881.69,80.43,101.58
9288.73,4253.57,1211.89,1539.92
2489.79,584.64,646.76,831.71
3562.48,1530.14,769.25,523.3
2382.52,1927.22,106.17,312.31
2039.41,1716.92,203.93,212.62
1190.33,646.68,97.09,260.77
1498.56,1302.9,109.02,121.29
2571.77,2090.0,328.29,280.1
1480.44,1151.28,158.97,88.26
6320.29,5067.59,354.92,296.71
7126.43,3330.27,570.61,1578.18
4542.67,3314.01,132.05,259.51
3861.92,2333.13,910.15,588.01
5540.74,3899.45,615.98,602.87
8875.04,2879.51,222.17,1589.62
8660.18,6165.84,1963.23,315.69
1391.28,1210.85,96.9,57.49
2633.49,1084.64,1046.01,367.11
3130.7,2787.31,120.38,82.73
3244.49,1508.24,1327.1,795.02
6141.09,2086.78,647.15,1258.41
4746.36,1322.34,507.13,1610.17
1443.29,1081.71,257.54,45.41
4362.53,2566.81,1281.01,864.42
5713.78,2371.17,1334.42,792.96
1915.05,1198.66,72.09,121.31
8501.13,3676.49,1178.05,1159.21
1467.66,754.16,430.47,145.71
9323.58,7494.9,1237.64,471.35
1892.02,1263.33,174.85,461.26
8592.17,6303.92,112.09,365.37
9123.88,5551.38,1902.64,1379.78
9816.14,8775.42,615.69,575.17
8218.23,3032.42,1759.09,2591.25
8015.3,3074.7,2304.68,529.01
6782.35,1795.91,3938.78,1660.8
8010.97,4708.96,647.19,378.99
2210.97,1391.48,375.64,700.75
5824.61,4124.83,830.8,896.19
5628.01,2447.13,1397.32,865.23
8718.15,1818.43,4797.4,2376.52
5165.19,3318.95,893.59,178.01
4465.81,4015.15,183.11,325.57
6756.07,2744.21,394.82,1129.83
3398.17,1117.16,1283.22,731.78
2257.92,896.93,143.84,117.7
5300.9,2638.74,56.59,1298.44
4752.0,1785.04,1159.56,333.2
3093.13,1369.86,789.18,1076.06
4307.61,2785.92,1216.2,351.65
4297.53,1897.44,1367.72,750.7
3947.46,1883.89,1400.9,580.6
4415.18,1006.76,944.51,1052.64
7171.69,6042.58,459.7,553.16
3671.89,1780.21,1474.41,641.98
9539.72,4099.22,1816.64,3294.19
9247.13,2409.24,4416.13,5228.95
5328.19,3430.97,798.33,211.79
3955.25,3182.7,138.42,159.53
5818.91,1331.41,2083.7,1627.39
8637.04,2605.72,1052.16,1855.01
6873.29,2078.98,11.61,3866.93
8239.53,5121.63,588.4,1812.45
5794.5,4895.55,138.9,343.22
6696.26,3391.24,980.72,1346.26
3593.4,1583.48,1428.8,650.4
7614.04,5604.61,623.49,426.75
2821.64,2031.01,534.58,266.75
7253.18,2703.47,2022.3,1981.64
8746.47,2733.96,36.63,2013.83
2188.93,986.04,181.62,433.68
6529.42,4850.85,1250.57,1266.92
1855.86,1274.13,281.17,45.74
7531.44,5016.67,1870.07,56.53
1760.44,1374.2,95.82,212.43
9423.46,3712.76,3273.66,3799.86
2236.67,979.17,776.66,242.52
9629.92,2211.39,5790.61,2492.77
8207.96,6633.03,22.9,528.07
6343.14,3854.73,1895.64,688.07
8043.62,3287.31,1490.02,835.55
8156.03,2027.52,4108.52,1810.4
9514.24,6720.73,1217.33,787.48
3280.45,2375.43,408.82,620.14
6310.68,4204.97,605.4,835.35
1855.44,635.76,808.38,463.48
6545.49,5493.31,222.23,436.41
2541.62,1848.29,273.03,114.39
6084.56,4018.42,925.92,713.2
6151.87,4033.54,1258.32,525.41
5193.87,4326.75,327.17,443.42
5703.69,4847.08,466.19,376.65
7875.31,4858.64,1171.18,431.92
8193.2,4028.34,2196.78,2488.38
5429.38,2468.27,1596.97,603.34
6396.34,4946.64,822.78,465.74
9381.13,6109.21,2155.01,1970.73
2077.6,527.89,670.37,1169.49
2053.93,615.21,222.46,727.41
1789.38,1485.42,165.27,215.49
6920.77,5669.14,77.22,819.57
4767.47,4129.98,111.67,338.99
7968.89,3980.43,2527.59,1831.76
7041.08,5272.66,615.51,999.33
4002.74,3121.17,351.25,808.4
9085.3,3824.8,4155.36,1943.28
7862.79,2372.49,1032.93,1021.39
3434.81,3084.18,5.48,65.99
4277.73,946.03,296.85,1515.16
3829.96,2367.43,286.07,821.27
2418.5,1584.48,484.35,72.03
2330.05,1578.03,466.75,384.4
9425.15,3571.56,2648.11,1924.1
4941.14,3484.02,297.31,987.15
4449.88,1564.04,1204.53,1688.04
7567.17,5904.87,19.89,510.69
5976.94,2112.14,2108.02,821.17
9425.26,6481.7,1446.58,976.52
8022.71,6004.11,35.2,748.75
5314.33,1765.75,2319.38,2049.11
4387.24,1608.32,1697.2,988.91
9879.68,7364.05,620.3,341.4
7459.84,1941.05,2805.21,2714.21
9560.75,3188.82,3066.14,3129.7
2066.31,1072.15,113.88,648.25
8654.8,7366.34,199.21,484.44
6733.66,3995.18,1496.76,1616.05
2097.3,988.61,828.01,483.56
6294.32,5569.59,334.12,161.87
7174.87,3763.92,1549.42,433.4
1110.72,559.38,285.24,152.65
5088.86,2484.13,918.07,297.85
8428.6,3527.59,212.4,1911.78
3658.23,1565.67,663.77,826.57
5126.93,3493.93,1176.09,463.77
4980.83,1138.54,2474.27,2984.14
3717.35,2517.65,890.1,174.9
9265.98,3158.24,746.76,2175.48
8031.65,3766.41,1726.43,2054.02
1995.3,603.73,650.95,189.84
9973.31,5853.59,691.87,3018.45
8912.8,6332.95,414.78,2137.09
3555.18,1593.64,1227.19,1042.55
8532.07,2682.41,3144.08,673.11
1957.78,701.97,650.19,722.73
9991.94,7720.56,485.14,783.29
6991.16,2708.06,1736.44,1837.5
6851.13,5085.53,32.59,1586.62
1813.97,783.34,107.14,364.02
9073.3,3013.36,2512.46,3919.59
1261.0,894.19,90.87,50.57
3167.45,1672.36,1155.02,787.44
2287.2,507.52,671.27,153.02
7990.91,6967.75,68.4,326.89
2783.84,844.69,27.68,1110.64
9195.74,4114.04,2948.44,3112.3
6906.42,3241.57,502.84,771.33
1325.46,719.2,91.09,253.78
1048.87,786.45,88.97,145.85
1464.92,299.23,246.25,684.42
6453.33,5502.95,468.79,455.28
8213.34,5356.68,1109.97,1800.86
3146.98,2723.56,37.75,285.34
8644.68,6675.19,1236.43,681.54
1515.09,1287.05,77.69,71.06
8208.67,5095.13,1521.49,874.85
9350.16,4208.66,16.22,1503.18
7948.98,4054.29,1951.7,1501.8
7283.09,4811.37,559.3,681.35
8541.82,4261.11,1693.01,2634.68
1361.36,969.52,93.33,284.94
2816.04,744.26,1651.22,973.47
2124.31,1659.07,85.92,250.83
5540.78,1900.11,2658.74,219.36
7706.69,6633.64,788.02,538.43
6670.11,2060.28,1552.59,1020.17
8660.18,2515.05,1494.51,1937.99
2396.92,1841.58,169.28,307.48
7611.59,5884.45,1366.98,954.7
2737.37,1963.06,383.32,331.88
3436.83,2998.19,191.17,251.73
7389.14,2877.17,129.65,825.93
9821.84,7647.82,1474.59,1415.66
6503.89,2903.52,241.38,2288.92
1490.5,858.8,23.74,197.26
6546.78,3351.43,702.61,1002.65
1381.15,281.89,418.42,550.86
8957.31,5393.41,2552.58,1372.27
7386.2,5342.1,1292.0,376.36
2558.15,824.2,274.15,914.79
1825.49,1555.61,80.33,52.48
2651.8,1514.92,709.63,420.94
9820.24,3189.34,2796.08,746.47
5127.05,3343.67,248.95,956.73
8056.73,2693.73,1699.23,2020.96
6727.68,1644.74,2545.27,2446.33
6151.72,4181.45,1534.01,1378.21
2306.17,639.93,882.19,1165.62
9514.22,2610.25,89.45,3769.11
3712.08,2665.13,590.49,70.6
6202.15,1480.09,947.68,2738.65
7297.98,5596.37,1173.65,1206.56
6843.1,5182.31,510.05,358.73
9465.35,2829.91,1059.63,1542.44
2335.95,1314.83,382.27,356.46
5575.17,1492.13,833.59,1162.04
4636.31,2980.22,312.43,1067.73
5267.52,1285.54,1826.17,696.22
2072.96,1785.1,176.71,74.83
2206.85,762.27,964.93,102.59
3502.68,2374.91,358.78,347.07
3742.34,1084.55,142.04,498.4
4851.13,1681.97,1227.03,768.36
6498.89,3351.25,1092.31,1150.18
6711.66,4034.83,421.82,2284.05
4706.3,4231.92,340.09,220.76
4679.05,1020.73,2851.0,1505.8
2958.66,592.38,97.96,1046.89
6294.76,2802.78,2222.98,2376.49
3853.37,1758.33,1082.24,1175.42
1324.54,1084.38,50.23,169.8
4765.6,3997.42,390.33,210.37
5267.19,4299.97,99.54,287.19
3030.34,909.78,117.74,417.5
6152.12,3005.15,2501.19,1173.65
6091.95,4399.11,861.81,518.74
7318.02,3064.99,861.57,2215.98
6831.54,4537.96,825.75,450.96
6871.9,2515.11,3311.46,1845.41
3845.93,1639.88,774.28,875.69
8086.89,6488.12,1151.68,810.05
5942.3,2230.48,2579.89,1070.12
4882.76,4272.55,168.01,423.74
6634.11,2749.05,2163.23,1401.65
4245.92,919.11,1757.88,1083.93
5614.65,2124.76,2153.16,961.56
7630.35,2440.52,1519.29,802.88
8977.63,4980.6,167.03,515.23
9289.51,2590.86,916.59,4277.01
5532.7,3531.16,987.25,337.78
5682.48,4616.61,660.92,109.17
8198.83,3720.33,2708.77,1904.46
3830.06,1217.75,1219.81,1335.12
8536.44,4097.64,300.98,978.35
5447.27,4086.42,18.82,503.61
2042.71,1254.31,493.31,289.55
1648.53,446.42,528.33,801.65
8577.94,4941.16,2277.24,1850.69
1500.11,791.55,92.28,496.48
